**************************************************
SharedInfo: 0xbf9ac5e0, SessionId: 0 Shared delta: 0
aheList: 0xbbd10000, Table size: 0x3000, Entry size: 0xc

Object(V)      Handle bType                 Flags    Thread  Process
0xbbe48ac8    0x100ac TYPE_WINDOW             0       1892   1888
0xbbe3ce88    0x300ad TYPE_INPUTCONTEXT       0       1916   1912
0xbbe48ba0    0x100ae TYPE_WINDOW             0       1892   1888
0xbc1412d0    0x400af TYPE_INPUTCONTEXT       0       816    424
0xbbe48d10    0x100b0 TYPE_WINDOW             0       1892   1888
0xe17c8668    0x200b1 TYPE_CURSOR             0     -------- 1752
0xbbe48de0    0x100b2 TYPE_WINDOW             0       1892   1888
0xe1d4fb90    0x300b3 TYPE_TIMER              0     -------- -
0xbbe490f8    0x100b4 TYPE_WINDOW             0       1892   1888
0xbbe3c3c0   0x3700b5 TYPE_MENU               0     -------- 1752
0xbbe49298    0x100b6 TYPE_WINDOW             0       1892   1888
0xe17e7658    0x200b7 TYPE_TIMER              0     -------- -
0xbbe493f0    0x100b8 TYPE_WINDOW             0       1892   1888
0xbbe42c28    0x100b9 TYPE_HOOK               0       1916   1912
0xbbe49530    0x100ba TYPE_WINDOW             0       1880   1876
0xbbe42c60    0x100bb TYPE_HOOK               0       1916   1912
0xbbe49708    0x100bc TYPE_WINDOW             0       1880   1876
0xbbe431b8    0x100bd TYPE_HOOK               0       1832   1752
0xbbe499f0    0x100be TYPE_WINDOW             0       240    200
0xbbe431f0    0x100bf TYPE_HOOK               0       1832   1752
0xbbe49bc8    0x100c0 TYPE_WINDOW             0       1904   1900
0xbbe49f30    0x100c2 TYPE_WINDOW             0       492    1900
0xe17e4df0    0x100c3 TYPE_CURSOR             0     -------- 1752
0xbbe4a090    0x100c4 TYPE_WINDOW             0       492    1900
0xbbe74ac0   0xb600c5 TYPE_INPUTCONTEXT       0       2340   1516
0xbc1411c0    0x100c6 TYPE_WINDOW             0       428    424
0xbbe5b6a8   0x9b00c7 TYPE_MENU               0     -------- 1752
0xbbe51b68    0x200c8 TYPE_WINDOW             0       516    612
0xbbe4a600    0x100ca TYPE_WINDOW             0       1904   1900
0xe178c2b0    0x100cb TYPE_TIMER              0     -------- -
0xbbe4b328    0x100cc TYPE_WINDOW             0       1904   1900
0xbbe4b440    0x100ce TYPE_WINDOW             0       1904   1900
0xbbe482e0    0xa00cf TYPE_HOOK               0       1892   1888
0xbbe4b558    0x100d0 TYPE_WINDOW             0       1904   1900
0xbbe43860    0x100d1 TYPE_INPUTCONTEXT       0       1880   1876
0xbbe4b638    0x100d2 TYPE_WINDOW             0       1904   1900
0xbbe55a38    0xa00d3 TYPE_INPUTCONTEXT       0       3712   1752
0xbbe4b708    0x100d4 TYPE_WINDOW             0       1904   1900
0xe11056d8   0x8a00d5 TYPE_CURSOR             0     -------- 1752
0xbbe4b840    0x100d6 TYPE_WINDOW             0       1904   1900
0xbbe48318    0x100d7 TYPE_HOOK               0       1892   1888
0xbbe4b938    0x100d8 TYPE_WINDOW             0       1904   1900
0xbbe49d50    0x200d9 TYPE_HOOK               0       1904   1900
0xbbe4ba18    0x100da TYPE_WINDOW             0       1904   1900
0xe191b6b8    0x100db TYPE_CURSOR             0     -------- 1888
0xbbe4baf8    0x100dc TYPE_WINDOW             0       1904   1900
0xbbe49d18   0x1100dd TYPE_HOOK               0       1904   1900
0xbbe4bbe0    0x100de TYPE_WINDOW             0       1904   1900
0xbbe4bcc0    0x100e0 TYPE_WINDOW             0       1904   1900
0xbbe49028    0x100e1 TYPE_INPUTCONTEXT       0       272    1888
0xe1d904a0    0x100e2 TYPE_CURSOR             0     -------- 1900
0xe191b4f8    0x100e3 TYPE_CURSOR             0     -------- 1876
0xe1cb94a0    0x100e4 TYPE_CURSOR             0     -------- 1900
0xe17f2b60    0x100e5 TYPE_CURSOR             0     -------- 1876
0xe1c264a0    0x100e6 TYPE_CURSOR             0     -------- 1900
0xbbe49678    0x100e7 TYPE_HOOK               0       1880   1876
0xe18e60d8    0x100e8 TYPE_CURSOR             0     -------- 1900
0xbbe496b0    0x100e9 TYPE_HOOK               0       1880   1876
0xe18ac4a8    0x100ea TYPE_CURSOR             0     -------- 1900
0xe180a4b0    0x100eb TYPE_TIMER              0     -------- -
0xe15c06c0    0x100ec TYPE_CURSOR             0     -------- 1900
0xe17fd1c0    0x100ed TYPE_CURSOR             0     -------- 1876
0xe180e0c8    0x100ee TYPE_CURSOR             0     -------- 1900
0xe182e0e0    0x100ef TYPE_CURSOR             0     -------- 1876
0xe1590810    0x100f0 TYPE_CURSOR             0     -------- 1900
0xe17cf898    0x100f1 TYPE_CURSOR             0     -------- 1876
0xe1f22d18    0x400f2 TYPE_TIMER              0     -------- -
0xe1cf5b20    0x100f3 TYPE_CURSOR             0     -------- 1876
0xe1c507a8    0x100f4 TYPE_TIMER              0     -------- -
0xe1871520    0x100f5 TYPE_CURSOR             0     -------- 1876
0xbbe4be60    0x200f6 TYPE_WINDOW             0       1904   1900
0xbbe49928    0x600f7 TYPE_INPUTCONTEXT       0       240    200
0xe1d22a40    0x200f8 TYPE_TIMER              0     -------- -
0xbbe49b00    0x100f9 TYPE_INPUTCONTEXT       0       392    1888
0xbbe4bf30    0x100fa TYPE_INPUTCONTEXT       0       560    1900
0xe18e3d08    0x100fb TYPE_CURSOR             0     -------- 1888
0xbbe55108    0x200fc TYPE_WINDOW             0       3376   3372
0xe1ced1c0    0x400fd TYPE_CURSOR             0     -------- 1752
0xbbe50de0    0x500fe TYPE_WINDOW             0       1832   1752
0xbbe49e68    0x700ff TYPE_INPUTCONTEXT       0       492    1900
0xe1836d58    0x80100 TYPE_ACCELTABLE         0     -------- 1900
0xe1ced280    0xe0101 TYPE_CURSOR             0     -------- 1752
0xe1943258    0x80102 TYPE_CURSOR             0     -------- 1752
0xe1c50008   0x260103 TYPE_CURSOR             0     -------- 1752
0xbbe50f98    0x20104 TYPE_WINDOW             0       616    1752
0xbbe49fe0    0x10105 TYPE_HOOK               0       492    1900
0xbbe552f0    0x30106 TYPE_WINDOW             0       3376   3372
0xbbe4a018    0x10107 TYPE_HOOK               0       492    1900
0xbbe51068    0x20108 TYPE_HOOK               0       616    1752
0xe18060f0    0x10109 TYPE_WINEVENTHOOK       0       492    1900
0xbbe510a0    0x2010a TYPE_HOOK               0       616    1752
0xbbe51118    0x2010c TYPE_WINDOW             0       616    1752
0xe18a0178    0x1010d TYPE_CURSOR             0     -------- 612
0xbbe511e8    0x3010e TYPE_MENU               0     -------- 612
0xe1f1fe98    0x1010f TYPE_CURSOR             0     -------- 612
0xbbe51248    0x10110 TYPE_MENU               0     -------- 612
0xbbe4a340    0x10111 TYPE_HOOK               0       516    612
0xbbe517c0    0x10112 TYPE_WINDOW             0       616    1752
0xe1ebd630   0x2a0113 TYPE_CURSOR             0     -------- 1752
0xbbe518b0    0x10114 TYPE_WINDOW             0       616    1752
0xe12ee918  0x3da0115 TYPE_CURSOR             0     -------- 1752
0xbbe519b0    0x10116 TYPE_WINDOW             0       616    1752
0xbbe376b8    0x20117 TYPE_MENU               0     -------- 612
0xbbe51aa8    0x10118 TYPE_WINDOW             0       616    1752
0xe17d9c30    0x10119 TYPE_CURSOR             0     -------- 1900
0xbbe57b38    0x2011a TYPE_WINDOW             0       3712   1752
0xe1e18a00    0x1011b TYPE_CURSOR             0     -------- 1900
0xbbe57be8    0x2011c TYPE_WINDOW             0       3712   1752
0xe18a7ef0    0x1011d TYPE_CURSOR             0     -------- 1900
0xbc1480c0    0x2011e TYPE_WINDOW             0       2448   1076
0xe1931b68    0x1011f TYPE_CURSOR             0     -------- 1900
0xbbe51c28    0x20120 TYPE_WINDOW             0       1756   1752
0xe15f0550    0x10121 TYPE_CURSOR             0     -------- 1900
0xbc148418    0x20122 TYPE_WINDOW             0       2536   1076
0xe15f03d0    0x20123 TYPE_CURSOR             0     -------- 1900
0xbc148258    0x20124 TYPE_WINDOW             0       2512   1076
0xe156f878    0x10125 TYPE_CURSOR             0     -------- 1900
0xbbe71478    0x40126 TYPE_WINDOW             0       1832   1752
0xe156f5f0    0x10127 TYPE_CURSOR             0     -------- 1900
0xbc1412f8    0x10128 TYPE_WINDOW             0       816    424
0xe1811988    0x10129 TYPE_CURSOR             0     -------- 1900
0xe1831748    0x3012a TYPE_CURSOR             0     -------- 1752
0xe1811700    0x1012b TYPE_CURSOR             0     -------- 1900
0xbbe5de30    0xf012c TYPE_WINDOW             0       1832   1752
0xe1811478    0x1012d TYPE_CURSOR             0     -------- 1900
0xbbe5dee0    0x6012e TYPE_WINDOW             0       1832   1752
0xe1dc5810    0x1012f TYPE_CURSOR             0     -------- 1900
0xbc141440    0x20130 TYPE_INPUTCONTEXT       0       1508   1076
0xe1dc5588    0x10131 TYPE_CURSOR             0     -------- 1900
0xbc141488    0x10132 TYPE_HOOK               0       1016   612
0xe1dc5300    0x10133 TYPE_CURSOR             0     -------- 1900
0xbbe52d50    0x30134 TYPE_WINDOW             0       2032   2028
0xe1dc5200    0x10135 TYPE_CURSOR             0     -------- 1900
0xbbe57a68    0x50136 TYPE_WINDOW             0       3712   1752
0xe1dc51a0    0x10137 TYPE_CURSOR             0     -------- 1900
0xbbe57830    0x50138 TYPE_WINDOW             0       3712   1752
0xe18a13c0    0x10139 TYPE_CURSOR             0     -------- 1900
0xbbe57780    0x4013a TYPE_WINDOW             0       3712   1752
0xe191f008    0x1013b TYPE_CURSOR             0     -------- 1900
0xbbe34ab0    0x7013c TYPE_WINDOW             0       3712   1752
0xe191f5e8    0x1013d TYPE_CURSOR             0     -------- 1900
0xbbe51e28    0x4013e TYPE_WINDOW             0       616    1752
0xe191f360    0x1013f TYPE_CURSOR             0     -------- 1900
0xbbe51f08    0x10140 TYPE_WINDOW             0       616    1752
0xe191f0d8    0x10141 TYPE_CURSOR             0     -------- 1900
0xe191f078    0x10143 TYPE_CURSOR             0     -------- 1900
0xbc144a40    0x10144 TYPE_INPUTCONTEXT       0       1136   1076
0xe18a2470    0x10145 TYPE_CURSOR             0     -------- 1900
0xbc144b08    0x10146 TYPE_WINDOW             0       1136   1076
0xe18a21e8    0x10147 TYPE_CURSOR             0     -------- 1900
0xe17dce08    0x10148 TYPE_TIMER              0     -------- -
0xe18a20e8    0x10149 TYPE_CURSOR             0     -------- 1900
0xe191e5f8    0x1014b TYPE_CURSOR             0     -------- 1900
0xbbe55ea0    0x3014c TYPE_WINDOW             0       3712   1752
0xe191e370    0x1014d TYPE_CURSOR             0     -------- 1900
0xbbe55dd0    0x4014e TYPE_WINDOW             0       3712   1752
0xe191e270    0x1014f TYPE_CURSOR             0     -------- 1900
0xe17a3958    0x10151 TYPE_CURSOR             0     -------- 1900
0xbbe578e0    0x50152 TYPE_WINDOW             0       3712   1752
0xe17a3840    0x10153 TYPE_CURSOR             0     -------- 1900
0xbc146a70    0x10154 TYPE_INPUTCONTEXT       0       988    1076
0xbbe550d0    0x70155 TYPE_HOOK               0       3376   3372
0xbc146f28    0x20156 TYPE_WINDOW             0       1848   1076
0xe1931820   0x160157 TYPE_CURSOR             0     -------- 1752
0xbc146b48    0x10159 TYPE_INPUTCONTEXT       0       1860   1076
0xbbe583c0    0x3015a TYPE_WINDOW             0       3712   1752
0xbbe53138    0x1015e TYPE_WINDOW             0       2032   2028
0xbbe58310    0x30162 TYPE_WINDOW             0       3712   1752
0xbbe58230    0x20164 TYPE_WINDOW             0       3712   1752
0xbc13d940    0x10165 TYPE_INPUTCONTEXT       0       1632   1076
0xbbe58180    0x20166 TYPE_WINDOW             0       3712   1752
0xbbe5b798   0x4d0167 TYPE_MENU               0     -------- 612
0xbbe58030    0x20168 TYPE_WINDOW             0       3712   1752
0xbbe57ef0    0x2016a TYPE_WINDOW             0       3712   1752
0xbc146ab8    0x1016b TYPE_INPUTCONTEXT       0       1392   1076
0xbbe57df8    0x2016c TYPE_WINDOW             0       3712   1752
0xbc146d20    0x1016d TYPE_INPUTCONTEXT       0       1672   1076
0xbbe57d48    0x2016e TYPE_WINDOW             0       3712   1752
0xbbe584c0    0x20172 TYPE_WINDOW             0       3712   1752
0xbc146df8    0x10173 TYPE_INPUTCONTEXT       0       1164   680
0xbbe588f8    0x20174 TYPE_WINDOW             0       3712   1752
0xbc146e40    0x10175 TYPE_INPUTCONTEXT       0       1848   1076
0xbbe58848    0x20176 TYPE_WINDOW             0       3712   1752
0xbc141510    0x70177 TYPE_INPUTCONTEXT       0       1664   1076
0xbbe58658    0x20178 TYPE_WINDOW             0       3712   1752
0xbbe524f8    0x10179 TYPE_INPUTCONTEXT       0       2032   2028
0xbbe57c98    0x2017a TYPE_WINDOW             0       3712   1752
0xe18e3220   0x12017b TYPE_CURSOR             0     -------- 1752
0xbbe589a8    0x2017c TYPE_WINDOW             0       3712   1752
0xe18ad4c8    0x9017d TYPE_CURSOR             0     -------- 1752
0xbbe5bad0    0x3017e TYPE_WINDOW             0       1916   1912
0xe1562b40    0x1017f TYPE_CURSOR             0     -------- 2028
0xe1c826d8   0x1b0181 TYPE_CURSOR             0     -------- 1752
0xbbe53640    0x30183 TYPE_INPUTCONTEXT       0       3376   3372
0xe1d0c0e0    0x40185 TYPE_CURSOR             0     -------- 1752
0xbbe347a0    0x30186 TYPE_WINDOW             0       3712   1752
0xbbe54df0    0xe0187 TYPE_MENU               0     -------- 3372
0xbbe345d8    0x20188 TYPE_WINDOW             0       3712   1752
0xe17f5d38    0x50189 TYPE_CURSOR             0     -------- 1752
0xbbe34688    0x3018a TYPE_WINDOW             0       3712   1752
0xe1562ba0    0x1018b TYPE_CURSOR             0     -------- 1888
0xbbe5a670    0x2018c TYPE_WINDOW             0       3712   1752
0xe1c966b8    0x1018d TYPE_CURSOR             0     -------- 1888
0xbbe58bb8    0x2018e TYPE_WINDOW             0       3712   1752
0xe17cae78    0x1018f TYPE_CURSOR             0     -------- 1888
0xbbe58b08    0x20190 TYPE_WINDOW             0       3712   1752
0xe1ce5e20    0x10191 TYPE_CURSOR             0     -------- 1888
0xbbe58a58    0x20192 TYPE_WINDOW             0       3712   1752
0xbbe53098    0x10193 TYPE_HOOK               0       2032   2028
0xbbe5b848    0x40194 TYPE_WINDOW             0       1832   1752
0xbbe530d0    0x10195 TYPE_HOOK               0       2032   2028
0xe1126280   0x700197 TYPE_CURSOR             0     -------- 1752
0xe1ce5d50    0x10199 TYPE_CURSOR             0     -------- 2028
0xbbe3c8a0    0x1019b TYPE_INPUTCONTEXT       0       1112   1752
0xbbe53380    0x5019d TYPE_INPUTCONTEXT       0       1824   1752
0xe1cef150    0x2019f TYPE_CURSOR             0     -------- 2028
0xbbe533c8    0x101a1 TYPE_INPUTCONTEXT       0       2052   1888
0xe1cf1968    0x101a3 TYPE_CURSOR             0     -------- 1752
0xe1cdaf08    0x201a5 TYPE_CURSOR             0     -------- 1752
0xe1cf2490    0x201a7 TYPE_CURSOR             0     -------- 1752
0xe1cb98c0   0x1901a9 TYPE_CURSOR             0     -------- 1752
0xbc144110    0x101ab TYPE_INPUTCONTEXT       0       2072   2068
0xbbe53570    0x101ad TYPE_INPUTCONTEXT       0       2084   1888
0xbbe535b8    0x101af TYPE_INPUTCONTEXT       0       2108   1888
0xbbe53600    0x401b1 TYPE_INPUTCONTEXT       0       2080   1752
0xbc147fb0    0x101b3 TYPE_HOOK               0       2072   2068
0xbbe717a8   0x3201b5 TYPE_MENU               0     -------- 1752
0xe182c270   0x1901b7 TYPE_CURSOR             0     -------- 1752
0xe1570418    0x401b9 TYPE_TIMER              0     -------- -
0xbc147f80    0x201bf TYPE_INPUTCONTEXT       0       2448   1076
0xe1d1acf0    0x101c1 TYPE_CURSOR             0     -------- 1076
0xe1cac660    0x101c3 TYPE_CURSOR             0     -------- 1076
0xbbe54c78    0x601c5 TYPE_HOOK               0       3376   3372
0xbbe53890    0x101c7 TYPE_HOOK               0       1756   1752
0xbbe538c8    0x101c9 TYPE_HOOK               0       1756   1752
0xbbe3c268   0x2401cb TYPE_MENU               0     -------- 1752
0xbc1481a8    0x101cd TYPE_INPUTCONTEXT       0       2512   1076
0xe1921d58    0x101cf TYPE_CURSOR             0     -------- 1076
0xbc148358    0x101d1 TYPE_INPUTCONTEXT       0       2536   1076
0xbc1484f8    0x101d3 TYPE_INPUTCONTEXT       0       2112   2068
