[x86] Gathering all referenced SSDTs from KTHREADs...
  Entry 0x0098: 0x805cbf60 (NtQueryInformationJobObject) owned by ntoskrnl.exe
  Entry 0x0099: 0x8059a76e (NtQueryInformationPort) owned by ntoskrnl.exe
  Entry 0x009a: 0x805c2c7c (NtQueryInformationProcess) owned by ntoskrnl.exe
  Entry 0x009b: 0x805c1848 (NtQueryInformationThread) owned by ntoskrnl.exe
  Entry 0x009c: 0x805e3b7a (NtQueryInformationToken) owned by ntoskrnl.exe
  Entry 0x009d: 0x80607310 (NtQueryInstallUILanguage) owned by ntoskrnl.exe
  Entry 0x009e: 0x8060e10a (NtQueryIntervalProfile) owned by ntoskrnl.exe
  Entry 0x009f: 0x8056de4c (NtQueryIoCompletion) owned by ntoskrnl.exe
  Entry 0x00a0: 0x8061ba64 (NtQueryKey) owned by ntoskrnl.exe
  Entry 0x00a1: 0x80619492 (NtQueryMultipleValueKey) owned by ntoskrnl.exe
  Entry 0x00a2: 0x8060d9e8 (NtQueryMutant) owned by ntoskrnl.exe
  Entry 0x00a3: 0x805bb0cc (NtQueryObject) owned by ntoskrnl.exe
  Entry 0x00a4: 0x80619b3e (NtQueryOpenSubKeys) owned by ntoskrnl.exe
  Entry 0x00a5: 0x8060e198 (NtQueryPerformanceCounter) owned by ntoskrnl.exe
  Entry 0x00a6: 0x80570b64 (NtQueryQuotaInformationFile) owned by ntoskrnl.exe
  Entry 0x00a7: 0x805adc4a (NtQuerySection) owned by ntoskrnl.exe
  Entry 0x00a8: 0x805b5a96 (NtQuerySecurityObject) owned by ntoskrnl.exe
  Entry 0x00a9: 0x8060b3b6 (NtQuerySemaphore) owned by ntoskrnl.exe
  Entry 0x00aa: 0x805b989a (NtQuerySymbolicLinkObject) owned by ntoskrnl.exe
  Entry 0x00ab: 0x8060cc08 (NtQuerySystemEnvironmentValue) owned by ntoskrnl.exe
  Entry 0x00ac: 0x8060cbd0 (NtQuerySystemEnvironmentValueEx) owned by ntoskrnl.exe
  Entry 0x00ad: 0x80607bf2 (NtQuerySystemInformation) owned by ntoskrnl.exe
  Entry 0x00ae: 0x80609a8e (NtQuerySystemTime) owned by ntoskrnl.exe
  Entry 0x00af: 0x8060d312 (NtQueryTimer) owned by ntoskrnl.exe
  Entry 0x00b0: 0x80609346 (NtQueryTimerResolution) owned by ntoskrnl.exe
  Entry 0x00b1: 0x80618568 (NtQueryValueKey) owned by ntoskrnl.exe
  Entry 0x00b2: 0x805ae2d0 (NtQueryVirtualMemory) owned by ntoskrnl.exe
  Entry 0x00b3: 0x80571054 (NtQueryVolumeInformationFile) owned by ntoskrnl.exe
  Entry 0x00b4: 0x805c74e6 (NtQueueApcThread) owned by ntoskrnl.exe
  Entry 0x00b5: 0x80540e90 (NtRaiseException) owned by ntoskrnl.exe
  Entry 0x00b6: 0x8060b028 (NtRaiseHardError) owned by ntoskrnl.exe
  Entry 0x00b7: 0x8057181c (NtReadFile) owned by ntoskrnl.exe
  Entry 0x00b8: 0x80571daa (NtReadFileScatter) owned by ntoskrnl.exe
  Entry 0x00b9: 0x8059b1f6 (NtReadRequestData) owned by ntoskrnl.exe
  Entry 0x00ba: 0x805a9786 (NtReadVirtualMemory) owned by ntoskrnl.exe
  Entry 0x00bb: 0x805c8a60 (NtRegisterThreadTerminatePort) owned by ntoskrnl.exe
  Entry 0x00bc: 0x8060db20 (NtReleaseMutant) owned by ntoskrnl.exe
  Entry 0x00bd: 0x8060b4e6 (NtReleaseSemaphore) owned by ntoskrnl.exe
  Entry 0x00be: 0x8056e144 (NtRemoveIoCompletion) owned by ntoskrnl.exe
  Entry 0x00bf: 0x80639e8c (NtRemoveProcessDebug) owned by ntoskrnl.exe
  Entry 0x00c0: 0x80619d66 (NtRenameKey) owned by ntoskrnl.exe
  Entry 0x00c1: 0x8061c418 (NtReplaceKey) owned by ntoskrnl.exe
  Entry 0x00c2: 0x8059a876 (NtReplyPort) owned by ntoskrnl.exe
  Entry 0x00c3: 0x8059b83e (NtReplyWaitReceivePort) owned by ntoskrnl.exe
  Entry 0x00c4: 0x8059b246 (NtReplyWaitReceivePortEx) owned by ntoskrnl.exe
  Entry 0x00c5: 0x8059ab60 (NtReplyWaitReplyPort) owned by ntoskrnl.exe
  Entry 0x00c6: 0x805be4d6 (NtRequestDeviceWakeup) owned by ntoskrnl.exe
  Entry 0x00c7: 0x80597dd4 (NtRequestPort) owned by ntoskrnl.exe
  Entry 0x00c8: 0x80598100 (NtRequestWaitReplyPort) owned by ntoskrnl.exe
  Entry 0x00c9: 0x805be2e4 (NtRequestWakeupLatency) owned by ntoskrnl.exe
  Entry 0x00ca: 0x80605560 (NtResetEvent) owned by ntoskrnl.exe
  Entry 0x00cb: 0x8051deb2 (NtResetWriteWatch) owned by ntoskrnl.exe
  Entry 0x00cc: 0x8061bd24 (NtRestoreKey) owned by ntoskrnl.exe
  Entry 0x00cd: 0x805cadc0 (NtResumeProcess) owned by ntoskrnl.exe
  Entry 0x00ce: 0x805caca2 (NtResumeThread) owned by ntoskrnl.exe
  Entry 0x00cf: 0x8061be20 (NtSaveKey) owned by ntoskrnl.exe
  Entry 0x00d0: 0x8061bf06 (NtSaveKeyEx) owned by ntoskrnl.exe
  Entry 0x00d1: 0x8061c02e (NtSaveMergedKeys) owned by ntoskrnl.exe
  Entry 0x00d2: 0x805990ee (NtSecureConnectPort) owned by ntoskrnl.exe
