 Offset(P)  Session     WindowStation          Atom  RefCount    HIndex     Pinned   Name
 0xd48ca68 ---------- ------------------     0xc100     2         256         0      SecNotify
 0xd48ca68 ---------- ------------------     0xc057     24         87         0      6.0.2600.6028!msctls_updown32
 0xd48ca68 ---------- ------------------     0xc061     24         97         0      6.0.2600.6028!Button
 0xd48ca68 ---------- ------------------     0xc0e6     2         230         0      GuestHostIntegrationClass
 0xd48ca68 ---------- ------------------     0xc05e     24         94         0      6.0.2600.6028!SysIPAddress32
 0xd48ca68 ---------- ------------------     0xc0be     9         190         0      FileGroupDescriptorW
 0xd48ca68 ---------- ------------------     0xc0c2     1         194         0      HTML Format
 0xd48ca68 ---------- ------------------     0xc0f0     2         240         0      msseces_class
 0xd48ca68 ---------- ------------------     0xc109     2         265         0      Tapi32WndClass
 0xd48ca68 ---------- ------------------     0xc10e     2         270         0      C:\Program Files\VMware\VMware Tools\TPAutoConnect.exe
 0xd48ca68 ---------- ------------------     0xc02c     1          44         1      SysDT
 0xd48ca68 ---------- ------------------     0xc041     60         65         0      SysTabControl32
 0xd48ca68 ---------- ------------------     0xc0ab     18        171         0      MSUIM.Msg.ShowFloating
 0xd48ca68 ---------- ------------------     0xc0e2     2         226         0      VMDragDetectWndClass
 0xd48ca68 ---------- ------------------     0xc110     2         272         0      CCF_NODETYPE
 0xd48ca68 ---------- ------------------     0xc00d     1          13         1      Link Source
 0xd48ca68 ---------- ------------------     0xc062     24         98         0      6.0.2600.6028!Static
 0xd48ca68 ---------- ------------------     0xc097     1         151         0      Enable Balloon Tip
 0xd48ca68 ---------- ------------------     0xc0b7     1         183         0      CMBAutomation
 0xd48ca68 ---------- ------------------     0xc10c     2         268         0      HidPhoneNotifClass
 0xd48ca68 ---------- ------------------     0xc006     1          6          1      FileName
 0xd48ca68 ---------- ------------------     0xc055     24         85         0      6.0.2600.6028!SysTreeView32
 0xd48ca68 ---------- ------------------     0xc098     3         152         0      DDEEXECUTESHORTCIRCUIT
 0xd48ca68 ---------- ------------------     0xc0b0     4         176         0      CiceroUIWndFrame
 0xd48ca68 ---------- ------------------     0xc0c8     1         200         0      InShellDragLoop
 0xd48ca68 ---------- ------------------     0xc03c     60         60         0      ReBarWindow32
 0xd48ca68 ---------- ------------------     0xc050     24         80         0      6.0.2600.6028!tooltips_class32
 0xd48ca68 ---------- ------------------     0xc059     24         89         0      6.0.2600.6028!msctls_hotkey32
 0xd48ca68 ---------- ------------------     0xc05b     24         91         0      6.0.2600.6028!SysMonthCal32
 0xd48ca68 ---------- ------------------     0xc05c     24         92         0      6.0.2600.6028!SysDateTimePick32
 0xd48ca68 ---------- ------------------     0xc09e     1         158         0      SubclassedFSNotify
 0xd48ca68 ---------- ------------------     0xc0a8     18        168         0      MSUIM.Msg.ThreadMarshal
